"name","C1_score","C2_score","C_score","D1_score","D2_score","D_score","c_off","d_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_C_dominant","facet_D_dominant","C1_variance","C2_variance","D1_variance","D2_variance"
"Algorithm-Pure","91.67","91.67","91.67","87.50","87.50","87.50","41.67","37.50","56.06","0.7928","41.99","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","equal","equal","0.25","0.25","0.19","0.19"
"Cipher-Pure","4.17","4.17","4.17","100.00","95.83","97.92","-45.83","47.92","66.31","0.9377","133.73","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","equal","D1","0.19","0.19","0.00","0.19"
"Gestalt-Pure","0.00","8.33","4.17","4.17","4.17","4.17","-45.83","-45.83","64.82","0.9167","225.00","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","C1","equal","0.00","0.25","0.19","0.19"
"Architecture-Pure","83.33","83.33","83.33","8.33","8.33","8.33","33.33","-41.67","53.36","0.7546","308.66","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","equal","equal","0.00","0.00","0.25","0.25"
"Algorithm-Mild","83.33","79.17","81.25","83.33","79.17","81.25","31.25","31.25","44.19","0.6250","45.00","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C1","D1","0.50","0.19","0.00","0.19"
"Cipher-Mild","25.00","29.17","27.08","70.83","75.00","72.92","-22.92","22.92","32.41","0.4583","135.00","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","C1","D2","0.25","0.19","0.19","0.25"
"Gestalt-Mild","20.83","25.00","22.92","25.00","29.17","27.08","-27.08","-22.92","35.48","0.5017","220.24","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","C1","D1","0.19","0.25","0.25","0.19"
"Architecture-Mild","70.83","75.00","72.92","25.00","25.00","25.00","22.92","-25.00","33.91","0.4796","312.51","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C2","equal","0.19","0.25","0.25","0.25"
"Algorithm-Early","83.33","83.33","83.33","75.00","70.83","72.92","33.33","22.92","40.45","0.5721","34.51","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","equal","D1","0.00","0.00","0.25","0.19"
"Algorithm-Mid","75.00","79.17","77.08","75.00","75.00","75.00","27.08","25.00","36.86","0.5212","42.71","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C2","equal","0.25","0.19","0.25","0.25"
"Algorithm-Late","70.83","62.50","66.67","79.17","91.67","85.42","16.67","35.42","39.14","0.5536","64.80","Algorithm","Early","FALSE","FALSE","FALSE","Algorithm","Early Algorithm","C1","D2","0.19","0.19","0.19","0.25"
"Architecture-Early","79.17","83.33","81.25","20.83","20.83","20.83","31.25","-29.17","42.75","0.6045","316.97","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C2","equal","0.19","0.00","0.19","0.19"
"Architecture-Mid","70.83","79.17","75.00","16.67","12.50","14.58","25.00","-35.42","43.35","0.6131","305.22","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C2","D2","0.19","0.19","0.50","0.19"
"Architecture-Late","70.83","66.67","68.75","0.00","4.17","2.08","18.75","-47.92","51.45","0.7277","291.37","Architecture","Late","FALSE","FALSE","FALSE","Architecture","Late Architecture","C1","D1","0.19","0.00","0.00","0.19"
"Balanced-Center","45.83","50.00","47.92","50.00","50.00","50.00","-2.08","0.00","2.08","0.0295","180.00","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","equal","0.19","0.00","0.00","0.00"
"Balanced-NearThreshold","62.50","54.17","58.33","45.83","50.00","47.92","8.33","-2.08","8.59","0.1215","345.96","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D1","0.19","0.19","0.19","0.00"
"Balanced-WideThreshold","62.50","45.83","54.17","62.50","41.67","52.08","4.17","2.08","4.66","0.0659","26.57","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D1","0.19","0.19","0.19","0.25"
"Mixed-HiC1_LoC2","87.50","37.50","62.50","58.33","45.83","52.08","12.50","2.08","12.67","0.1792","9.46","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D1","0.19","0.19","0.25","0.19"
"Mixed-LoC1_HiC2","29.17","91.67","60.42","45.83","54.17","50.00","10.42","0.00","10.42","0.1473","0.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D1","0.19","0.25","0.19","0.19"
