"name","C1_score","C2_score","C_score","D1_score","D2_score","D_score","c_off","d_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_C_dominant","facet_D_dominant","C1_variance","C2_variance","D1_variance","D2_variance"
"Algorithm-Pure","93.75","89.58","91.67","91.67","87.50","89.58","41.67","39.58","57.47","0.8128","43.53","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C1","D1","0.23","0.23","0.25","0.19"
"Cipher-Pure","6.25","2.08","4.17","95.83","95.83","95.83","-45.83","45.83","64.82","0.9167","135.00","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","C2","equal","0.23","0.11","0.19","0.19"
"Gestalt-Pure","2.08","10.42","6.25","8.33","6.25","7.29","-43.75","-42.71","61.14","0.8646","224.31","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","C1","D2","0.11","0.48","0.25","0.23"
"Architecture-Pure","89.58","85.42","87.50","4.17","6.25","5.21","37.50","-44.79","58.42","0.8261","309.94","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C1","D1","0.23","0.11","0.19","0.23"
"Algorithm-Mild","77.08","77.08","77.08","79.17","81.25","80.21","27.08","30.21","40.57","0.5738","48.12","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","equal","D2","0.48","0.23","0.19","0.11"
"Cipher-Mild","27.08","22.92","25.00","77.08","77.08","77.08","-25.00","27.08","36.86","0.5212","132.71","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","C2","equal","0.23","0.23","0.23","0.23"
"Gestalt-Mild","25.00","25.00","25.00","27.08","25.00","26.04","-25.00","-23.96","34.63","0.4897","223.78","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","equal","D2","0.25","0.25","0.23","0.25"
"Architecture-Mild","72.92","70.83","71.88","22.92","27.08","25.00","21.88","-25.00","33.22","0.4698","311.19","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C1","D1","0.23","0.19","0.23","0.23"
"Algorithm-Early","79.17","81.25","80.21","72.92","70.83","71.88","30.21","21.88","37.30","0.5275","35.91","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C2","D1","0.19","0.11","0.23","0.19"
"Algorithm-Mid","77.08","75.00","76.04","75.00","75.00","75.00","26.04","25.00","36.10","0.5105","43.83","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C1","equal","0.23","0.25","0.25","0.25"
"Algorithm-Late","70.83","68.75","69.79","79.17","83.33","81.25","19.79","31.25","36.99","0.5231","57.65","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","C1","D2","0.44","0.36","0.19","0.50"
"Architecture-Early","79.17","83.33","81.25","16.67","16.67","16.67","31.25","-33.33","45.69","0.6462","313.15","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C2","equal","0.19","0.00","0.25","0.25"
"Architecture-Mid","72.92","77.08","75.00","12.50","12.50","12.50","25.00","-37.50","45.07","0.6374","303.69","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","C2","equal","0.23","0.23","0.44","0.19"
"Architecture-Late","68.75","68.75","68.75","2.08","4.17","3.12","18.75","-46.88","50.49","0.7140","291.80","Architecture","Late","FALSE","FALSE","FALSE","Architecture","Late Architecture","equal","D1","0.36","0.11","0.11","0.19"
"Balanced-Center","47.92","50.00","48.96","50.00","50.00","50.00","-1.04","0.00","1.04","0.0147","180.00","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","equal","0.11","0.00","0.00","0.00"
