"name","A1_past","A2_future","Direction","B1_continuity","B2_coherence","Mode","dir_off","mode_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","tension_ax1","tension_ax2","has_tension","result_type","result_label","facet_1_dominant","facet_2_dominant"
"Archivist-Pure","95.83","12.50","8.33","95.83","87.50","91.67","-41.67","41.67","58.93","0.8333","135.00","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","B1"
"Navigator-Pure","8.33","87.50","89.58","95.83","91.67","93.75","39.58","43.75","59.00","0.8344","47.86","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","A1","B1"
"Storyteller-Pure","87.50","4.17","8.33","8.33","4.17","6.25","-41.67","-43.75","60.42","0.8544","226.40","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","A2","B2"
"Pioneer-Pure","4.17","83.33","89.58","0.00","4.17","2.08","39.58","-47.92","62.15","0.8790","309.56","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","A1","B1"
"Archivist-Mild","70.83","25.00","27.08","75.00","87.50","81.25","-22.92","31.25","38.75","0.5480","126.25","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A2","B2"
"Navigator-Mild","33.33","75.00","70.83","79.17","70.83","75.00","20.83","25.00","32.54","0.4602","50.19","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","A2","B1"
"Storyteller-Mild","70.83","20.83","25.00","29.17","29.17","29.17","-25.00","-20.83","32.54","0.4602","219.81","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","A2","equal"
"Pioneer-Mild","20.83","66.67","72.92","25.00","29.17","27.08","22.92","-22.92","32.41","0.4583","315.00","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","A1","B1"
"Archivist-Early","79.17","33.33","27.08","75.00","70.83","72.92","-22.92","22.92","32.41","0.4583","135.00","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","B1"
"Archivist-Mid","75.00","25.00","25.00","79.17","70.83","75.00","-25.00","25.00","35.36","0.5000","135.00","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","equal","B1"
"Archivist-Late","75.00","33.33","29.17","66.67","87.50","77.08","-20.83","27.08","34.17","0.4832","127.57","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","B2"
"Balanced-Center","50.00","54.17","52.08","50.00","54.17","52.08","2.08","2.08","2.95","0.0417","45.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A2","B2"
"Balanced-Near","54.17","50.00","47.92","54.17","50.00","52.08","-2.08","2.08","2.95","0.0417","135.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A1","B1"
"Present-Focused","4.17","0.00","47.92","50.00","54.17","52.08","-2.08","2.08","2.95","0.0417","135.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A2","B2"
"Present-Mild","25.00","25.00","50.00","50.00","45.83","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","equal","B2"
