"name","A1_past","A2_future","Direction","B1_continuity","B2_coherence","Mode","dir_off","mode_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","tension_ax1","tension_ax2","has_tension","result_type","result_label","facet_1_dominant","facet_2_dominant"
"Archivist-Pure","93.75","6.25","6.25","91.67","87.50","89.58","-43.75","39.58","59.00","0.8344","137.86","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","equal","B1"
"Navigator-Pure","6.25","85.42","89.58","95.83","95.83","95.83","39.58","45.83","60.56","0.8565","49.18","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","A1","equal"
"Storyteller-Pure","85.42","10.42","12.50","8.33","6.25","7.29","-37.50","-42.71","56.84","0.8038","228.72","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","A2","B2"
"Pioneer-Pure","6.25","85.42","89.58","4.17","6.25","5.21","39.58","-44.79","59.78","0.8454","311.47","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","A1","B1"
"Archivist-Mild","79.17","29.17","25.00","79.17","85.42","82.29","-25.00","32.29","40.84","0.5775","127.75","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","B2"
"Navigator-Mild","27.08","72.92","72.92","77.08","79.17","78.13","22.92","28.13","36.28","0.5131","50.83","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","equal","B2"
"Storyteller-Mild","77.08","27.08","25.00","27.08","22.92","25.00","-25.00","-25.00","35.36","0.5000","225.00","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","A1","B2"
"Pioneer-Mild","25.00","68.75","71.88","22.92","27.08","25.00","21.88","-25.00","33.22","0.4698","311.19","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","A1","B1"
"Archivist-Early","79.17","27.08","23.96","83.33","75.00","79.17","-26.04","29.17","39.10","0.5530","131.76","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","B1"
"Archivist-Mid","77.08","25.00","23.96","75.00","75.00","75.00","-26.04","25.00","36.10","0.5105","136.17","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","A1","equal"
"Archivist-Late","72.92","27.08","27.08","70.83","83.33","77.08","-22.92","27.08","35.48","0.5017","130.24","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","equal","B2"
"Balanced-Center","50.00","52.08","51.04","54.17","52.08","53.13","1.04","3.13","3.29","0.0466","71.57","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A2","B1"
"Balanced-Near","56.25","50.00","46.88","52.08","50.00","51.04","-3.13","1.04","3.29","0.0466","161.57","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A1","B1"
"Present-Focused","6.25","6.25","50.00","45.83","50.00","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","equal","B1"
"Present-Mild","25.00","27.08","51.04","54.17","47.92","51.04","1.04","1.04","1.47","0.0208","45.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A1","B1"
"Fullness-A-BothHi","97.92","95.83","48.96","45.83","50.00","47.92","-1.04","-2.08","2.33","0.0329","243.43","N/A","N/A","TRUE","TRUE","FALSE","TRUE","Horizon","Horizon+tension","tense","B1"
"Fullness-A-Mild","79.17","83.33","52.08","52.08","50.00","51.04","2.08","1.04","2.33","0.0329","26.57","N/A","N/A","TRUE","TRUE","FALSE","TRUE","Horizon","Horizon+tension","tense","B1"
