"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant","A1_variance","A2_variance","B1_variance","B2_variance"
"Summer-Pure","91.67","87.50","89.58","91.67","83.33","87.50","39.58","37.50","54.53","0.7711","43.45","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.25","0.19","0.25","0.00"
"Autumn-Pure","87.50","95.83","91.67","16.67","4.17","10.42","41.67","-39.58","57.47","0.8128","316.47","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","B2","0.19","0.19","0.00","0.19"
"Winter-Pure","4.17","8.33","6.25","4.17","8.33","6.25","-43.75","-43.75","61.87","0.8750","225.00","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","B1","0.19","0.25","0.19","0.25"
"Spring-Pure","8.33","4.17","6.25","95.83","87.50","91.67","-43.75","41.67","60.42","0.8544","136.40","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","A2","B1","0.25","0.19","0.19","0.19"
"Summer-Mild","83.33","66.67","75.00","83.33","75.00","79.17","25.00","29.17","38.41","0.5433","49.40","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.00","0.00","0.00","0.25"
"Autumn-Mild","75.00","79.17","77.08","25.00","25.00","25.00","27.08","-25.00","36.86","0.5212","317.29","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","equal","0.25","0.19","0.25","0.25"
"Winter-Mild","25.00","29.17","27.08","16.67","25.00","20.83","-22.92","-29.17","37.09","0.5246","231.84","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","B1","0.25","0.19","0.00","0.25"
"Spring-Mild","20.83","25.00","22.92","70.83","87.50","79.17","-27.08","29.17","39.80","0.5629","132.88","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","A1","B2","0.19","0.25","0.19","0.19"
"Summer-Early","79.17","75.00","77.08","66.67","66.67","66.67","27.08","16.67","31.80","0.4497","31.61","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","equal","0.19","0.25","0.00","0.00"
"Summer-Mid","83.33","75.00","79.17","75.00","75.00","75.00","29.17","25.00","38.41","0.5433","40.60","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","equal","0.00","0.25","0.75","0.25"
"Summer-Late","75.00","70.83","72.92","83.33","83.33","83.33","22.92","33.33","40.45","0.5721","55.49","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","equal","0.25","0.19","0.00","0.00"
"Autumn-Early","79.17","83.33","81.25","8.33","16.67","12.50","31.25","-37.50","48.81","0.6903","309.81","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","B1","0.19","0.00","0.25","0.00"
"Autumn-Mid","62.50","70.83","66.67","4.17","12.50","8.33","16.67","-41.67","44.88","0.6346","291.80","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","A2","B1","0.19","0.19","0.19","0.19"
"Autumn-Late","70.83","70.83","70.83","8.33","0.00","4.17","20.83","-45.83","50.35","0.7120","294.44","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","equal","B2","0.19","0.19","0.25","0.00"
"Balanced-Center","54.17","50.00","52.08","50.00","50.00","50.00","2.08","0.00","2.08","0.0295","0.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","equal","0.19","0.00","0.00","0.00"
