"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant","A1_variance","A2_variance","B1_variance","B2_variance"
"Summer-Pure","91.67","87.50","89.58","91.67","91.67","91.67","39.58","41.67","57.47","0.8128","46.47","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","equal","0.25","0.19","0.25","0.25"
"Autumn-Pure","83.33","87.50","85.42","12.50","12.50","12.50","35.42","-37.50","51.58","0.7295","313.36","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","equal","0.00","0.19","0.19","0.19"
"Winter-Pure","0.00","16.67","8.33","12.50","8.33","10.42","-41.67","-39.58","57.47","0.8128","223.53","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","B2","0.00","0.50","0.19","0.25"
"Spring-Pure","0.00","0.00","0.00","87.50","91.67","89.58","-50.00","39.58","63.77","0.9019","141.63","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","equal","B2","0.00","0.00","0.19","0.25"
"Summer-Mild","79.17","75.00","77.08","79.17","83.33","81.25","27.08","31.25","41.35","0.5848","49.09","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B2","0.69","0.25","0.19","0.00"
"Autumn-Mild","75.00","75.00","75.00","29.17","29.17","29.17","25.00","-20.83","32.54","0.4602","320.19","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","equal","equal","0.25","0.25","0.19","0.19"
"Winter-Mild","20.83","25.00","22.92","25.00","25.00","25.00","-27.08","-25.00","36.86","0.5212","222.71","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","equal","0.19","0.25","0.25","0.25"
"Spring-Mild","25.00","16.67","20.83","75.00","83.33","79.17","-29.17","29.17","41.25","0.5833","135.00","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","A2","B2","0.25","0.00","0.25","0.00"
"Summer-Early","79.17","79.17","79.17","70.83","66.67","68.75","29.17","18.75","34.67","0.4904","32.74","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","equal","B1","0.19","0.19","0.19","0.00"
"Summer-Mid","79.17","75.00","77.08","75.00","79.17","77.08","27.08","27.08","38.30","0.5417","45.00","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B2","0.19","0.25","0.25","0.19"
"Summer-Late","66.67","70.83","68.75","79.17","75.00","77.08","18.75","27.08","32.94","0.4658","55.30","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A2","B1","0.50","0.19","0.19","0.25"
"Autumn-Early","79.17","83.33","81.25","20.83","12.50","16.67","31.25","-33.33","45.69","0.6462","313.15","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","B2","0.19","0.00","0.19","0.19"
"Autumn-Mid","70.83","75.00","72.92","8.33","16.67","12.50","22.92","-37.50","43.95","0.6215","301.43","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","B1","0.19","0.25","0.25","0.00"
"Autumn-Late","70.83","70.83","70.83","0.00","8.33","4.17","20.83","-45.83","50.35","0.7120","294.44","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","equal","B1","0.19","0.19","0.00","0.25"
"Balanced-Center","45.83","50.00","47.92","50.00","50.00","50.00","-2.08","0.00","2.08","0.0295","180.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","equal","0.19","0.00","0.00","0.00"
"Balanced-NearThreshold","58.33","50.00","54.17","45.83","50.00","47.92","4.17","-2.08","4.66","0.0659","333.43","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B1","0.25","0.00","0.19","0.00"
"Balanced-WideThreshold","66.67","50.00","58.33","66.67","50.00","58.33","8.33","8.33","11.79","0.1667","45.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B1","0.00","0.00","0.00","0.50"
"Mixed-HighA1_LowA2","83.33","37.50","60.42","50.00","50.00","50.00","10.42","0.00","10.42","0.1473","0.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","equal","0.00","0.19","0.50","0.50"
"Mixed-LowA1_HighA2","29.17","95.83","62.50","45.83","62.50","54.17","12.50","4.17","13.18","0.1863","18.43","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","B2","0.19","0.19","0.69","0.69"
"Mixed-HighB1_LowB2","45.83","37.50","41.67","79.17","33.33","56.25","-8.33","6.25","10.42","0.1473","143.13","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B1","0.19","0.19","0.19","0.00"
"Mixed-LowB1_HighB2","45.83","45.83","45.83","33.33","83.33","58.33","-4.17","8.33","9.32","0.1318","116.57","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","equal","B2","0.19","0.19","0.00","0.00"
"Divergent-AgenticIntrovert","45.83","54.17","50.00","16.67","79.17","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A1","tense","0.69","0.19","0.00","0.19"
"Divergent-SocialFollower","50.00","58.33","54.17","83.33","16.67","50.00","4.17","0.00","4.17","0.0589","0.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A2","tense","0.50","0.75","0.50","0.50"
"Divergent-EnergeticCalm","75.00","20.83","47.92","45.83","58.33","52.08","-2.08","2.08","2.95","0.0417","135.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","B2","0.25","0.69","0.19","0.25"
"Divergent-SeekingTired","16.67","91.67","54.17","54.17","45.83","50.00","4.17","0.00","4.17","0.0589","0.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","B2","0.00","0.25","0.69","0.19"
"Boundary-A-BrightSide","75.00","79.17","77.08","45.83","45.83","45.83","27.08","-4.17","27.40","0.3875","351.25","Autumn","Early","FALSE","FALSE","FALSE","Autumn","Early Autumn","A2","equal","0.25","0.19","0.19","0.19"
"Boundary-B-OutSide","50.00","50.00","50.00","70.83","75.00","72.92","0.00","22.92","22.92","0.3241","90.00","Summer","Early","FALSE","FALSE","FALSE","Summer","Early Summer","equal","B2","0.00","0.00","0.19","0.25"
"Boundary-A-DimSide","25.00","29.17","27.08","45.83","54.17","50.00","-22.92","0.00","22.92","0.3241","180.00","Spring","Early","FALSE","FALSE","FALSE","Spring","Early Spring","A1","B1","0.25","0.19","0.19","0.19"
"Boundary-B-InSide","50.00","54.17","52.08","29.17","25.00","27.08","2.08","-22.92","23.01","0.3254","275.19","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","A2","B2","0.00","0.19","0.19","0.25"
"Noisy-HighVar","37.50","54.17","45.83","79.17","75.00","77.08","-4.17","27.08","27.40","0.3875","98.75","Spring","Late","FALSE","FALSE","FALSE","Spring","Late Spring","A1","B1","1.69","2.69","2.69","0.75"
"Noisy-VeryHighVar","70.83","58.33","64.58","75.00","12.50","43.75","14.58","-6.25","15.87","0.2244","336.80","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A1","tense","3.69","5.25","2.75","0.69"
"Bias-RightSide","75.00","70.83","72.92","75.00","70.83","72.92","22.92","22.92","32.41","0.4583","45.00","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.25","0.19","0.25","0.19"
"Bias-LeftSide","25.00","25.00","25.00","25.00","16.67","20.83","-25.00","-29.17","38.41","0.5433","229.40","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","equal","B2","0.25","0.25","0.25","0.00"
"Corner-TopRight","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","equal","equal","0.00","0.00","0.00","0.00"
"Corner-TopLeft","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomLeft","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomRight","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisA-Fifty","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Summer","Early","FALSE","FALSE","FALSE","Summer","Early Summer","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisB-Fifty","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","equal","equal","0.00","0.00","0.00","0.00"
