"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant","A1_variance","A2_variance","B1_variance","B2_variance"
"Summer-Pure","91.67","89.58","90.63","91.67","85.42","88.54","40.63","38.54","56.00","0.7919","43.49","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.25","0.23","0.25","0.11"
"Autumn-Pure","85.42","95.83","90.63","12.50","4.17","8.33","40.63","-41.67","58.19","0.8230","314.27","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","B2","0.11","0.19","0.19","0.19"
"Winter-Pure","6.25","8.33","7.29","2.08","6.25","4.17","-42.71","-45.83","62.65","0.8860","227.02","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","B1","0.23","0.25","0.11","0.23"
"Spring-Pure","6.25","6.25","6.25","93.75","89.58","91.67","-43.75","41.67","60.42","0.8544","136.40","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","equal","B1","0.23","0.23","0.23","0.23"
"Summer-Mild","79.17","66.67","72.92","79.17","77.08","78.13","22.92","28.13","36.28","0.5131","50.83","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.19","0.00","0.19","0.23"
"Autumn-Mild","72.92","75.00","73.96","25.00","25.00","25.00","23.96","-25.00","34.63","0.4897","313.78","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A2","equal","0.23","0.25","0.25","0.25"
"Winter-Mild","29.17","25.00","27.08","20.83","25.00","22.92","-22.92","-27.08","35.48","0.5017","229.76","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A2","B1","0.19","0.25","0.19","0.25"
"Spring-Mild","25.00","29.17","27.08","72.92","83.33","78.13","-22.92","28.13","36.28","0.5131","129.17","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","A1","B2","0.25","0.19","0.23","0.50"
"Summer-Early","79.17","77.08","78.13","70.83","70.83","70.83","28.13","20.83","35.00","0.4950","36.53","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","equal","0.19","0.23","0.19","0.19"
"Summer-Mid","75.00","75.00","75.00","79.17","79.17","79.17","25.00","29.17","38.41","0.5433","49.40","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","equal","equal","0.50","0.25","0.69","0.19"
"Summer-Late","75.00","70.83","72.92","79.17","81.25","80.21","22.92","30.21","37.92","0.5362","52.82","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B2","0.25","0.19","0.19","0.11"
"Autumn-Early","81.25","79.17","80.21","10.42","12.50","11.46","30.21","-38.54","48.97","0.6925","308.09","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","A1","B1","0.11","0.19","0.23","0.19"
"Autumn-Mid","72.92","70.83","71.88","2.08","10.42","6.25","21.88","-43.75","48.91","0.6917","296.57","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","A1","B1","0.48","0.19","0.11","0.23"
"Autumn-Late","68.75","68.75","68.75","8.33","2.08","5.21","18.75","-44.79","48.56","0.6867","292.71","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","equal","B2","0.11","0.36","0.25","0.11"
"Balanced-Center","52.08","50.00","51.04","50.00","52.08","51.04","1.04","1.04","1.47","0.0208","45.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B2","0.11","0.00","0.00","0.11"
"Balanced-NearThreshold","47.92","54.17","51.04","54.17","45.83","50.00","1.04","0.00","1.04","0.0147","0.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B2","0.11","0.19","0.19","0.44"
"Balanced-WideThreshold","54.17","39.58","46.88","60.42","43.75","52.08","-3.13","2.08","3.76","0.0531","146.31","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B1","0.44","0.48","0.48","0.23"
"Mixed-HighA1_LowA2","70.83","33.33","52.08","54.17","52.08","53.13","2.08","3.13","3.76","0.0531","56.31","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B1","0.19","0.50","0.19","0.36"
"Mixed-LowA1_HighA2","33.33","81.25","57.29","50.00","43.75","46.88","7.29","-3.13","7.93","0.1122","336.80","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B2","0.25","0.11","0.25","0.48"
"Mixed-HighB1_LowB2","47.92","47.92","47.92","83.33","33.33","58.33","-2.08","8.33","8.59","0.1215","104.04","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","equal","B1","0.11","0.61","0.25","0.25"
