"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant"
"Beacon-Pure","91.67","91.67","91.67","91.67","83.33","87.50","41.67","37.50","56.06","0.7928","41.99","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","equal","B1"
"Prism-Pure","87.50","95.83","91.67","12.50","4.17","8.33","41.67","-41.67","58.93","0.8333","315.00","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","A2","B2"
"Aurora-Pure","8.33","4.17","6.25","0.00","8.33","4.17","-43.75","-45.83","63.36","0.8961","226.33","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","A2","B1"
"Ember-Pure","4.17","8.33","6.25","95.83","91.67","93.75","-43.75","43.75","61.87","0.8750","135.00","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","A1","B1"
"Beacon-Mild","79.17","66.67","72.92","79.17","79.17","79.17","22.92","29.17","37.09","0.5246","51.84","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","equal"
"Prism-Mild","75.00","70.83","72.92","20.83","25.00","22.92","22.92","-27.08","35.48","0.5017","310.24","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","A1","B1"
"Aurora-Mild","29.17","20.83","25.00","20.83","29.17","25.00","-25.00","-25.00","35.36","0.5000","225.00","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","A2","B1"
"Ember-Mild","25.00","29.17","27.08","70.83","87.50","79.17","-22.92","29.17","37.09","0.5246","128.16","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","A1","B2"
"Beacon-Early","83.33","79.17","81.25","66.67","66.67","66.67","31.25","16.67","35.42","0.5009","28.07","Beacon","Late","FALSE","FALSE","Beacon","Late Beacon","A1","equal"
"Beacon-Mid","83.33","75.00","79.17","70.83","75.00","72.92","29.17","22.92","37.09","0.5246","38.16","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","B2"
"Beacon-Late","75.00","66.67","70.83","83.33","83.33","83.33","20.83","33.33","39.31","0.5559","57.99","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","equal"
"Balanced-Center","50.00","50.00","50.00","45.83","50.00","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","FALSE","Reflection","Reflection","equal","B1"
"Balanced-Near","45.83","50.00","47.92","50.00","45.83","47.92","-2.08","-2.08","2.95","0.0417","225.00","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B2"
"Mixed-HiA1_LoA2","79.17","33.33","56.25","58.33","50.00","54.17","6.25","4.17","7.51","0.1062","33.69","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B1"
"Mixed-LoA1_HiA2","41.67","95.83","68.75","54.17","50.00","52.08","18.75","2.08","18.87","0.2668","6.34","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B1"
"Mixed-HiB1_LoB2","45.83","58.33","52.08","83.33","29.17","56.25","2.08","6.25","6.59","0.0932","71.57","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A2","tense"
"Mixed-LoB1_HiB2","50.00","58.33","54.17","29.17","87.50","58.33","4.17","8.33","9.32","0.1318","63.43","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A2","tense"
"Diverge-A1hiA2lo","62.50","20.83","41.67","50.00","54.17","52.08","-8.33","2.08","8.59","0.1215","165.96","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B2"
"Diverge-A1loA2hi","20.83","75.00","47.92","54.17","45.83","50.00","-2.08","0.00","2.08","0.0295","180.00","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","tense","B2"
"Diverge-B1hiB2lo","50.00","54.17","52.08","83.33","20.83","52.08","2.08","2.08","2.95","0.0417","45.00","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A2","tense"
"Diverge-B1loB2hi","54.17","50.00","52.08","20.83","83.33","52.08","2.08","2.08","2.95","0.0417","45.00","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A1","tense"
"Boundary-A-ClearSide","75.00","70.83","72.92","50.00","50.00","50.00","22.92","0.00","22.92","0.3241","0.00","Beacon","Late","FALSE","FALSE","Beacon","Late Beacon","A1","equal"
"Boundary-B-AlignedSide","45.83","50.00","47.92","75.00","70.83","72.92","-2.08","22.92","23.01","0.3254","95.19","Ember","Late","FALSE","FALSE","Ember","Late Ember","A1","B1"
"Boundary-A-DiffSide","25.00","16.67","20.83","50.00","50.00","50.00","-29.17","0.00","29.17","0.4125","180.00","Ember","Early","FALSE","FALSE","Ember","Early Ember","A2","equal"
"Boundary-B-OtherSide","54.17","50.00","52.08","25.00","29.17","27.08","2.08","-22.92","23.01","0.3254","275.19","Prism","Late","FALSE","FALSE","Prism","Late Prism","A1","B1"
"Noisy-HighVar","83.33","62.50","72.92","70.83","62.50","66.67","22.92","16.67","28.34","0.4007","36.03","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","B1"
"Noisy-VeryHighVar","54.17","75.00","64.58","37.50","58.33","47.92","14.58","-2.08","14.73","0.2083","351.87","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B1"
"Corner-Beacon","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","equal","equal"
"Corner-Prism","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","equal","equal"
"Corner-Aurora","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","equal","equal"
"Corner-Ember","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","equal","equal"
"Split-A-Boundary","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Beacon","Early","FALSE","FALSE","Beacon","Early Beacon","equal","equal"
"Split-B-Boundary","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Beacon","Late","FALSE","FALSE","Beacon","Late Beacon","equal","equal"
