"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant"
"Beacon-Pure","93.75","89.58","91.67","91.67","87.50","89.58","41.67","39.58","57.47","0.8128","43.53","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","B1"
"Prism-Pure","89.58","85.42","87.50","12.50","12.50","12.50","37.50","-37.50","53.03","0.7500","315.00","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","A1","equal"
"Aurora-Pure","2.08","10.42","6.25","8.33","6.25","7.29","-43.75","-42.71","61.14","0.8646","224.31","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","A1","B2"
"Ember-Pure","6.25","2.08","4.17","87.50","89.58","88.54","-45.83","38.54","59.88","0.8469","139.94","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","A2","B2"
"Beacon-Mild","77.08","77.08","77.08","79.17","81.25","80.21","27.08","30.21","40.57","0.5738","48.12","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","equal","B2"
"Prism-Mild","77.08","72.92","75.00","27.08","27.08","27.08","25.00","-22.92","33.91","0.4796","317.49","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","A1","equal"
"Aurora-Mild","25.00","25.00","25.00","27.08","25.00","26.04","-25.00","-23.96","34.63","0.4897","223.78","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","equal","B2"
"Ember-Mild","22.92","20.83","21.88","72.92","77.08","75.00","-28.13","25.00","37.63","0.5322","138.37","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","A2","B2"
"Beacon-Early","79.17","81.25","80.21","72.92","70.83","71.88","30.21","21.88","37.30","0.5275","35.91","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A2","B1"
"Beacon-Mid","77.08","75.00","76.04","75.00","75.00","75.00","26.04","25.00","36.10","0.5105","43.83","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","equal"
